threshold,input_length_days,washout_days,n_train,n_val,n_test,train_positive,val_positive,test_positive,n_channels,seed,arch,hp,hp_hidden_dim,hp_num_layers,hp_dropout,best_epoch,best_val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier
2,14,14,615,184,322,51,1,2,72,42,rnn,dropout=0.4;hidden_dim=32;num_layers=2,32.0,2.0,0.4,1,0.8821692069371542,0.3967391304347826,0.008928571428571428,1.0,0.017699115044247787,0.8579234972677596,0.037037037037037035,0.32194692119938945,0.9937888198757764,0.0,0.0,0.0,0.5015625,0.016679021497405484,0.006173179689673157
2,14,14,615,184,322,51,1,2,72,42,cnn,dropout=0.4,,,0.4,4,0.41783490280310315,0.8641304347826086,0.0,0.0,0.0,0.8524590163934427,0.03571428571428571,0.1168007859392413,0.9937888198757764,0.0,0.0,0.0,0.7296875,0.05602409638554217,0.006169765713335961
4,3,0,962,217,410,54,1,5,72,42,gru,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.35532139454569134,0.8341013824884793,0.02702702702702703,1.0,0.05263157894736842,0.8981481481481481,0.034482758620689655,0.10072399788955269,0.9878048780487805,0.0,0.0,0.0,0.3002469135802469,0.010125063130805835,0.012111164966618933
3,3,0,961,217,410,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,29,0.2955732132707323,0.9308755760368663,0.0,0.0,0.0,0.8981481481481481,0.034482758620689655,0.06461385751459502,0.9878048780487805,0.0,0.0,0.0,0.3683950617283951,0.011332398840495531,0.012107329064957735
3,3,7,871,217,396,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,30,0.35373708073581966,0.9216589861751152,0.0,0.0,0.0,0.8935185185185185,0.03333333333333333,0.08547833329332538,0.9873737373737373,0.0,0.0,0.0,0.34424552429667515,0.011014436751897134,0.012535671250682388
2,3,0,963,217,408,55,1,3,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,20,0.32022432663611006,0.9170506912442397,0.0,0.0,0.0,0.888888888888889,0.03225806451612903,0.0798835002415114,0.9926470588235294,0.0,0.0,0.0,0.3539094650205761,0.007298900473674762,0.0073091245734904844
4,3,14,789,217,385,54,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,21,0.3620967407311712,0.9078341013824884,0.0,0.0,0.0,0.875,0.029411764705882353,0.08361328161470181,0.987012987012987,0.0,0.0,0.0,0.4052631578947369,0.015010807319786962,0.012888166540470829
3,3,14,785,217,384,53,1,5,72,42,lstm,dropout=0.2;hidden_dim=64;num_layers=1,64.0,1.0,0.2,30,0.4827538643564497,0.783410138248848,0.020833333333333332,1.0,0.04081632653061224,0.8703703703703703,0.02857142857142857,0.14114929738154164,0.9869791666666666,0.0,0.0,0.0,0.39947229551451185,0.01220938440486293,0.012929541220488104
3,7,7,777,203,372,49,1,5,72,42,rnn,dropout=0.2;hidden_dim=32;num_layers=2,32.0,2.0,0.2,23,0.46717923666749683,0.8768472906403941,0.0,0.0,0.0,0.8341584158415842,0.027777777777777776,0.07601493693512205,0.9865591397849462,0.0,0.0,0.0,0.7247956403269755,0.059813386576883426,0.013323764637136215
4,3,7,876,217,397,54,1,5,72,42,rnn,dropout=0.2;hidden_dim=64;num_layers=2,64.0,2.0,0.2,21,0.35278591407196863,0.9170506912442397,0.0,0.0,0.0,0.8333333333333334,0.02702702702702703,0.07278745841148396,0.9874055415617129,0.0,0.0,0.0,0.19387755102040816,0.008936436081803622,0.012500994604266739
