config,permutation,pooled_roc_auc,pooled_pr_auc,elapsed_sec
rf_all_T4_L14_W7,147,0.07088284808873045,0.09831390386820188,5.4
rf_all_T4_L14_W7,148,0.42971867047846435,0.19283585133012215,5.35
rf_all_T4_L14_W7,149,0.44380807400197975,0.0949003342200392,5.32
rf_all_T4_L14_W7,150,0.7670829744473155,0.31590716078487313,5.52
rf_all_T4_L14_W7,151,0.5547504025764896,0.09500618009569799,5.3
rf_all_T4_L14_W7,152,0.11274055778532469,0.11931417759890954,5.6
rf_all_T4_L14_W7,153,0.321916482300885,0.03979180703653515,5.48
rf_all_T4_L14_W7,154,0.31679323638697315,0.13199890910287004,5.55
rf_all_T4_L14_W7,155,0.2866954198115419,0.09315127804446896,5.45
rf_all_T4_L14_W7,156,0.37542146790032355,0.05081875355172052,5.29
rf_all_T4_L14_W7,157,0.5284574468085107,0.0777175354699673,5.21
rf_all_T4_L14_W7,158,0.1248071996235491,0.08357852818468642,5.41
rf_all_T4_L14_W7,159,0.49946820372943573,0.04298772961146776,5.3
rf_all_T4_L14_W7,160,0.3798329516368045,0.04442420153183901,5.22
rf_all_T4_L14_W7,161,0.4343044165931524,0.13210237279881412,5.35
rf_all_T4_L14_W7,162,0.25698917825374906,0.08314627781322878,5.29
rf_all_T4_L14_W7,163,0.19130460207005437,0.07752817776916064,5.24
rf_all_T4_L14_W7,164,0.16368340137460596,0.07180842267271578,5.42
rf_all_T4_L14_W7,165,0.35617139554723837,0.11222801359926969,5.37
rf_all_T4_L14_W7,166,0.6260603251006075,0.13448402669648035,5.13
rf_all_T4_L14_W7,167,0.1587318614448432,0.1017444555268112,5.26
rf_all_T4_L14_W7,168,0.26394245485154577,0.05788958729634786,5.18
rf_all_T4_L14_W7,169,0.33280337921062497,0.08384219950394572,5.27
rf_all_T4_L14_W7,170,0.3231799205215217,0.10452307667877142,5.52
rf_all_T4_L14_W7,171,0.2571898371611945,0.04623289213173656,5.14
rf_all_T4_L14_W7,172,0.3929152405996187,0.11623663447863206,5.38
rf_all_T4_L14_W7,173,0.2257863885295979,0.10275252314611434,5.2
rf_all_T4_L14_W7,174,0.531452022669533,0.15430239167289517,5.34
rf_all_T4_L14_W7,175,0.1644362679168428,0.10572383522279875,5.37
rf_all_T4_L14_W7,176,0.31965179542981503,0.19104375231223014,5.38
rf_all_T4_L14_W7,177,0.15631130729445336,0.0614010326072374,5.43
rf_all_T4_L14_W7,178,0.2667102651993505,0.12825583913601749,5.34
rf_all_T4_L14_W7,179,0.19069532505804607,0.08928830754674599,5.33
rf_all_T4_L14_W7,180,0.12238846929400675,0.13595365521331176,5.51
rf_all_T4_L14_W7,181,0.19421406391258209,0.10613762915649136,5.38
rf_all_T4_L14_W7,182,0.36436919177696425,0.08438349771593082,5.51
rf_all_T4_L14_W7,183,0.409405048076923,0.08486697634391525,5.34
rf_all_T4_L14_W7,184,0.38636288618959597,0.0709003977381996,5.4
rf_all_T4_L14_W7,185,0.5447194900216872,0.3950131877547815,5.35
rf_all_T4_L14_W7,186,0.5855443583047489,0.24095346345096935,5.38
rf_all_T4_L14_W7,187,0.3820764724874314,0.0645579470817803,5.27
rf_all_T4_L14_W7,188,0.14844844844844846,0.0967289285087798,5.45
rf_all_T4_L14_W7,189,0.1549216159179982,0.05996080317652214,5.29
rf_all_T4_L14_W7,190,0.4674503594937807,0.06252753795246822,5.4
rf_all_T4_L14_W7,191,0.5658258596944031,0.075932524017242,5.23
rf_all_T4_L14_W7,192,0.2839101170233339,0.12632616432409088,5.17
rf_all_T4_L14_W7,193,0.1397391381766382,0.11493187547142167,5.22
rf_all_T4_L14_W7,194,0.34456131932518436,0.09235794008024073,5.22
rf_all_T4_L14_W7,195,0.16378183813647204,0.11261893871915815,5.38
rf_all_T4_L14_W7,196,0.24746387214087473,0.08710950898961883,5.03
rf_all_T4_L14_W7,197,0.30813492063492065,0.14202677879193315,5.11
rf_all_T4_L14_W7,198,0.16628915934189764,0.08675754547564109,5.17
rf_all_T4_L14_W7,199,0.2764071870613755,0.15447912571899106,5.26
xgb_smartinhaler_T4_L14_W14,0,0.1751397756034906,0.06479154068074189,2.05
xgb_smartinhaler_T4_L14_W14,1,0.4364234900387237,0.2700820355638861,2.0
xgb_smartinhaler_T4_L14_W14,2,0.4611339285714286,0.21277921304613498,1.89
xgb_smartinhaler_T4_L14_W14,3,0.39310753377754104,0.17043977144150674,1.88
xgb_smartinhaler_T4_L14_W14,4,0.2742575568418265,0.24517678808835558,1.94
xgb_smartinhaler_T4_L14_W14,5,0.19826248567028334,0.1098155967577204,1.85
xgb_smartinhaler_T4_L14_W14,6,0.48369185526978503,0.1405635671940558,1.85
xgb_smartinhaler_T4_L14_W14,7,0.20617248625626206,0.14010687533173077,1.86
xgb_smartinhaler_T4_L14_W14,8,0.13524705070416457,0.14167535162015932,1.86
xgb_smartinhaler_T4_L14_W14,9,0.424472872739395,0.173830656422753,2.04
